Name,City,Country,Cuisine,Awards,Source Lists
Koryu,,,Japanese,,
Yugen,,,Japanese,,
Shunsaiten Tsuchiya,,,"Tempura, Japanese",,
Sushi Harasho,,,Sushi,,
Yusokuryori Mankamero,,,Japanese,,
Sanso Kyoyamato,,,Japanese,,
Ogata,,,Japanese,,
Kyokaiseki Kichisen,,,Japanese,,
Gion Nishikawa,,,Japanese,,
Otagi,,,Japanese,,
Numata,,,Tempura,,
KAHALA,,,Innovative,,
Oimatsu Hisano,,,Japanese,,
Miyamaso,,,Japanese,,
Sumibi Kappo Ifuki,,,Japanese,,
Kenninji Gion Maruyama,,,Japanese,,
Kodaiji Wakuden,,,Japanese,,
Kikunoi Roan,,,Japanese,,
Tenjimbashi Aoki,,,Japanese,,
Sojiki Nakahigashi,,,Japanese,,
Kodaiji Jugyuan,,,Japanese,,
Gion Matayoshi,,,Japanese,,
Gion Maruyama,,,Japanese,,
Ryō-shō,,,Japanese,,
Rùn,,,Cantonese,,
The Eight,,,Cantonese,,
Octavium,,,Italian,,
L'Envol,,,French Contemporary,,
Wing Lei,,,Cantonese,,
Lai Ching Heen,,,Cantonese,,
Arbor,,,Innovative,,
Noi by Paulo Airaudo,,,Italian Contemporary,,
Tin Lung Heen,,,Cantonese,,
Feng Wei Ju,,,"Hunanese, Sichuan",,
Alain Ducasse at Morpheus,,,French Contemporary,,
Tate,,,Innovative,,
Ying Jee Club,,,Cantonese,,
Lung King Heen,,,Cantonese,,
Bo Innovation,,,Innovative,,
The Huaiyang Garden,,,Huaiyang,,
Chef Tam's Seasons,,,Cantonese,,
Kojima,,,Sushi,,
La Yeon,,,"Korean, Contemporary",,
Evett,,,"Innovative, Korean",,
Kwonsooksoo,,,Korean,,
Soigné,,,Innovative,,
Jungsik,,,Contemporary,,
alla prima,,,Innovative,,
Mitou,,,Japanese,,
Restaurant Allen,,,"Contemporary, Seasonal Cuisine",,
Il Gallo d'Oro,,,Modern Cuisine,,
Casa de Chá da Boa Nova,,,Seafood,,
Antiqvvm,,,Creative,,
The Yeatman,,,Creative,,
Vila Joya,,,Modern Cuisine,,
Ocean,,,Creative,,
Alma,,,Creative,,
Belcanto,,,"Creative, Portuguese",,
ION Harbour by Simon Rogan,,,"Contemporary, Mediterranean Cuisine",,
Chapter One by Mickael Viljanen,,,Modern Cuisine,,
The Glenturret Lalique,,,Modern Cuisine,,
hide and fox,,,Modern British,,
Humble Chicken,,,Japanese,,
dede,,,"Turkish, Creative",,
Trivet,,,Modern Cuisine,,
Da Terra,,,Creative; Italian,,
Liath,,,Creative,,
Midsummer House,,,Creative,,
Hand and Flowers,,,Modern British,,
Gymkhana,,,Indian,,
Restaurant Story,,,Modern Cuisine,,
Restaurant Andrew Fairlie,,,Modern French,,
Alex Dilling at Hotel Café Royal,,,Modern French,,
Patrick Guilbaud,,,Modern French,,
Ynyshir,,,Creative,,
Restaurant Sat Bains,,,Creative,,
Opheem,,,"Indian, Contemporary",,
Ikoyi,,,Creative,,
Dinner by Heston Blumenthal,,,Traditional British,,
Claude Bosi at Bibendum,,,French,,
The Clove Club,,,Creative,,
Kitchen Table,,,Modern Cuisine,,
Terre,,,Modern Cuisine,,
"Le Manoir aux Quat' Saisons, a Belmond Hotel",,,French,,
A. Wong,,,Chinese,,
The Ritz Restaurant,,,Modern British,,
Brooklands by Claude Bosi,,,Modern Cuisine,,
Landhaus Bacher,,,Classic Cuisine,,
Döllerer,,,"Innovative, Alpine",,
Ois,,,"Modern Cuisine, Austrian",,
Taubenkobel,,,"French Contemporary, Regional Cuisine",,
Obauer,,,"Classic Cuisine, Seasonal Cuisine",,
SENNS.Restaurant,,,"Creative, International",,
Silvio Nickol Gourmet Restaurant,,,Modern Cuisine,,
Stüva,,,"Creative French, Modern Cuisine",,
Restaurant 141 by Joachim Jaud,,,"Creative, Seasonal Cuisine",,
Doubek,,,"Creative, Modern Cuisine",,
Ikarus,,,"Creative, Modern Cuisine",,
Mraz & Sohn,,,Creative,,
Griggeler Stuba,,,"Modern Cuisine, International",,
Kräuterreich by Vitus Winkler,,,"Creative, Seasonal Cuisine",,
Gourmetrestaurant Tannenhof,,,"Alpine, Modern Cuisine",,
Schwarzer Adler,,,European Contemporary,,
Rote Wand Chef's Table,,,"Modern Cuisine, Creative",,
Konstantin Filippou,,,"Modern Cuisine, Creative",,
Delta,,,"Creative, Greek",,
Platán Gourmet,,,"Creative, Hungarian",,
Stand,,,"Modern Cuisine, Hungarian",,
César,,,"Contemporary, Seafood",,
odo,,,"Japanese, Contemporary",,
Sushi Sho,,,"Sushi, Japanese",,
The Modern,,,Contemporary,,
Chef's Table at Brooklyn Fare,,,Contemporary,,
Sushi Noz,,,"Japanese, Sushi",,
Atomix,,,"Korean, Contemporary",,
